latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.40001,0.5,17.0,3600,Europe/London,BST

time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),rain (mm),weathercode (wmo code),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),windspeed_10m (km/h),windspeed_100m (km/h)
2023-03-01T00:00,3.0,87,1.1,0.00,1,41,45,0,0,0.0,0.0,0.0,0.0,9.2,18.2
2023-03-01T01:00,2.8,86,0.7,0.00,1,48,53,0,0,0.0,0.0,0.0,0.0,7.9,17.3
2023-03-01T02:00,2.7,86,0.6,0.00,2,50,56,0,0,0.0,0.0,0.0,0.0,8.2,18.4
2023-03-01T03:00,2.7,87,0.7,0.00,2,60,67,0,0,0.0,0.0,0.0,0.0,10.2,20.4
2023-03-01T04:00,2.7,88,1.0,0.00,2,61,68,0,0,0.0,0.0,0.0,0.0,11.2,21.6
2023-03-01T05:00,2.9,90,1.4,0.00,2,72,80,0,0,0.0,0.0,0.0,0.0,12.1,22.1
2023-03-01T06:00,3.2,90,1.7,0.00,2,79,88,0,0,0.0,0.0,0.0,0.0,11.6,21.3
2023-03-01T07:00,3.3,91,1.9,0.00,3,84,93,0,0,0.0,0.0,0.0,0.0,11.2,20.1
2023-03-01T08:00,3.8,93,2.8,0.00,3,82,91,0,0,1.0,0.0,1.0,0.0,11.5,20.8
2023-03-01T09:00,4.3,93,3.2,0.00,2,79,88,0,0,38.0,13.0,25.0,0.0,13.1,21.9
2023-03-01T10:00,4.9,88,3.1,0.00,2,58,64,0,0,104.0,28.0,76.0,112.5,17.6,25.3
2023-03-01T11:00,5.8,80,2.6,0.10,51,74,82,0,0,204.0,85.0,119.0,168.0,16.1,22.6
2023-03-01T12:00,6.3,75,2.3,0.10,51,87,94,0,7,242.0,127.0,115.0,258.7,17.5,24.7
