time,solar_irrad
2021-11-26 15:00:00+00:00,4.393
2021-11-26 16:00:00+00:00,0.058
2021-11-26 17:00:00+00:00,0.001
2021-11-26 18:00:00+00:00,0.0
2021-11-26 19:00:00+00:00,0.0
2021-11-26 20:00:00+00:00,0.0
2021-11-26 21:00:00+00:00,0.0
2021-11-26 22:00:00+00:00,0.0
2021-11-26 23:00:00+00:00,0.0
2021-11-27 00:00:00+00:00,0.0
2021-11-27 01:00:00+00:00,0.0
2021-11-27 02:00:00+00:00,0.0
2021-11-27 03:00:00+00:00,0.0
2021-11-27 04:00:00+00:00,0.0
2021-11-27 05:00:00+00:00,0.0
2021-11-27 06:00:00+00:00,0.0
2021-11-27 07:00:00+00:00,0.221
2021-11-27 08:00:00+00:00,2.195
2021-11-27 09:00:00+00:00,16.631
2021-11-27 10:00:00+00:00,23.953
2021-11-27 11:00:00+00:00,28.835
2021-11-27 12:00:00+00:00,18.492
2021-11-27 13:00:00+00:00,13.413
2021-11-27 14:00:00+00:00,7.477
2021-11-27 15:00:00+00:00,3.357
2021-11-27 16:00:00+00:00,0.023
2021-11-27 17:00:00+00:00,0.0
2021-11-27 18:00:00+00:00,0.0
2021-11-27 19:00:00+00:00,0.0
2021-11-27 20:00:00+00:00,0.0
2021-11-27 21:00:00+00:00,0.0
2021-11-27 22:00:00+00:00,0.0
2021-11-27 23:00:00+00:00,0.0
2021-11-28 00:00:00+00:00,0.0
2021-11-28 01:00:00+00:00,0.0
2021-11-28 02:00:00+00:00,0.0
2021-11-28 03:00:00+00:00,0.0
2021-11-28 04:00:00+00:00,0.001
2021-11-28 05:00:00+00:00,0.0
2021-11-28 06:00:00+00:00,0.0
2021-11-28 07:00:00+00:00,0.877
2021-11-28 08:00:00+00:00,8.15
2021-11-28 09:00:00+00:00,20.989
2021-11-28 10:00:00+00:00,45.06
2021-11-28 11:00:00+00:00,59.282
2021-11-28 12:00:00+00:00,57.503
2021-11-28 13:00:00+00:00,48.861
2021-11-28 14:00:00+00:00,12.98
2021-11-28 15:00:00+00:00,6.655
2021-11-28 16:00:00+00:00,0.047
2021-11-28 17:00:00+00:00,0.0
2021-11-28 18:00:00+00:00,0.0
2021-11-28 19:00:00+00:00,0.0
2021-11-28 20:00:00+00:00,0.0
2021-11-28 21:00:00+00:00,0.0
2021-11-28 22:00:00+00:00,0.0
2021-11-28 23:00:00+00:00,0.0
2021-11-29 00:00:00+00:00,0.0
2021-11-29 01:00:00+00:00,0.0
2021-11-29 02:00:00+00:00,0.0
2021-11-29 03:00:00+00:00,0.0
2021-11-29 04:00:00+00:00,0.0
2021-11-29 05:00:00+00:00,0.0
2021-11-29 06:00:00+00:00,0.0
2021-11-29 07:00:00+00:00,0.947
2021-11-29 08:00:00+00:00,9.446
2021-11-29 09:00:00+00:00,23.025
2021-11-29 10:00:00+00:00,41.254
2021-11-29 11:00:00+00:00,49.707
2021-11-29 12:00:00+00:00,53.704
2021-11-29 13:00:00+00:00,32.185
2021-11-29 14:00:00+00:00,11.937
2021-11-29 15:00:00+00:00,2.768
2021-11-29 16:00:00+00:00,0.028
2021-11-29 17:00:00+00:00,0.0
2021-11-29 18:00:00+00:00,0.0
2021-11-29 19:00:00+00:00,0.0
2021-11-29 20:00:00+00:00,0.0
2021-11-29 21:00:00+00:00,0.0
2021-11-29 22:00:00+00:00,0.0
2021-11-29 23:00:00+00:00,0.0
2021-11-30 00:00:00+00:00,0.0
2021-11-30 01:00:00+00:00,0.0
2021-11-30 02:00:00+00:00,0.0
2021-11-30 03:00:00+00:00,0.0
2021-11-30 04:00:00+00:00,0.0
2021-11-30 05:00:00+00:00,0.0
2021-11-30 06:00:00+00:00,0.0
2021-11-30 07:00:00+00:00,0.481
2021-11-30 08:00:00+00:00,7.809
2021-11-30 09:00:00+00:00,14.711
2021-11-30 10:00:00+00:00,17.948
2021-11-30 11:00:00+00:00,18.622
2021-11-30 12:00:00+00:00,16.987
2021-11-30 13:00:00+00:00,12.029
2021-11-30 14:00:00+00:00,8.963
2021-11-30 15:00:00+00:00,2.041
2021-11-30 16:00:00+00:00,0.019
2021-11-30 17:00:00+00:00,0.0
2021-11-30 18:00:00+00:00,0.0
2021-11-30 19:00:00+00:00,0.0
2021-11-30 20:00:00+00:00,0.0
2021-11-30 21:00:00+00:00,0.0
2021-11-30 22:00:00+00:00,0.0
2021-11-30 23:00:00+00:00,0.0
2021-12-01 00:00:00+00:00,0.0
2021-12-01 01:00:00+00:00,0.0
2021-12-01 02:00:00+00:00,0.0
2021-12-01 03:00:00+00:00,0.0
2021-12-01 04:00:00+00:00,0.0
2021-12-01 05:00:00+00:00,0.0
2021-12-01 06:00:00+00:00,0.0
2021-12-01 07:00:00+00:00,0.631
2021-12-01 08:00:00+00:00,11.482
2021-12-01 09:00:00+00:00,14.494
2021-12-01 10:00:00+00:00,17.866
2021-12-01 11:00:00+00:00,37.211
2021-12-01 12:00:00+00:00,33.754
2021-12-01 13:00:00+00:00,11.694
2021-12-01 14:00:00+00:00,13.632
2021-12-01 15:00:00+00:00,2.555
2021-12-01 16:00:00+00:00,0.052
2021-12-01 17:00:00+00:00,0.0
2021-12-01 18:00:00+00:00,0.0
2021-12-01 19:00:00+00:00,0.0
2021-12-01 20:00:00+00:00,0.0
2021-12-01 21:00:00+00:00,0.0
2021-12-01 22:00:00+00:00,0.0
2021-12-01 23:00:00+00:00,0.0
2021-12-02 00:00:00+00:00,0.0
2021-12-02 01:00:00+00:00,0.0
2021-12-02 02:00:00+00:00,0.0
2021-12-02 03:00:00+00:00,0.0
2021-12-02 04:00:00+00:00,0.0
2021-12-02 05:00:00+00:00,0.0
2021-12-02 06:00:00+00:00,0.0
2021-12-02 07:00:00+00:00,0.614
2021-12-02 08:00:00+00:00,7.889
2021-12-02 09:00:00+00:00,23.273
2021-12-02 10:00:00+00:00,42.511
2021-12-02 11:00:00+00:00,56.403
2021-12-02 12:00:00+00:00,45.534
2021-12-02 13:00:00+00:00,26.257
2021-12-02 14:00:00+00:00,13.281
2021-12-02 15:00:00+00:00,3.725
2021-12-02 16:00:00+00:00,0.034
2021-12-02 17:00:00+00:00,0.0
2021-12-02 18:00:00+00:00,0.0
2021-12-02 19:00:00+00:00,0.0
2021-12-02 20:00:00+00:00,0.0
2021-12-02 21:00:00+00:00,0.0
2021-12-02 22:00:00+00:00,0.0
2021-12-02 23:00:00+00:00,0.0
2021-12-03 00:00:00+00:00,0.0
2021-12-03 01:00:00+00:00,0.0
2021-12-03 02:00:00+00:00,0.0
2021-12-03 03:00:00+00:00,0.0
2021-12-03 04:00:00+00:00,0.0
2021-12-03 05:00:00+00:00,0.0
2021-12-03 06:00:00+00:00,0.0
2021-12-03 07:00:00+00:00,0.1
2021-12-03 08:00:00+00:00,2.227
2021-12-03 09:00:00+00:00,5.336
2021-12-03 10:00:00+00:00,9.584
2021-12-03 11:00:00+00:00,10.091
2021-12-03 12:00:00+00:00,18.877
2021-12-03 13:00:00+00:00,12.004
2021-12-03 14:00:00+00:00,6.526
2021-12-03 15:00:00+00:00,1.669
2021-12-03 16:00:00+00:00,0.005
2021-12-03 17:00:00+00:00,0.0
2021-12-03 18:00:00+00:00,0.0
2021-12-03 19:00:00+00:00,0.0
2021-12-03 20:00:00+00:00,0.0
2021-12-03 21:00:00+00:00,0.0
2021-12-03 22:00:00+00:00,0.0
2021-12-03 23:00:00+00:00,0.0
2021-12-04 00:00:00+00:00,0.0
2021-12-04 01:00:00+00:00,0.0
2021-12-04 02:00:00+00:00,0.0
2021-12-04 03:00:00+00:00,0.0
2021-12-04 04:00:00+00:00,0.0
2021-12-04 05:00:00+00:00,0.0
2021-12-04 06:00:00+00:00,0.0
2021-12-04 07:00:00+00:00,0.015
2021-12-04 08:00:00+00:00,1.957
2021-12-04 09:00:00+00:00,13.375
2021-12-04 10:00:00+00:00,36.629
2021-12-04 11:00:00+00:00,46.625
2021-12-04 12:00:00+00:00,47.347
2021-12-04 13:00:00+00:00,27.565
2021-12-04 14:00:00+00:00,13.565
2021-12-04 15:00:00+00:00,3.809
2021-12-04 16:00:00+00:00,0.042
2021-12-04 17:00:00+00:00,0.0
2021-12-04 18:00:00+00:00,0.0
2021-12-04 19:00:00+00:00,0.0
2021-12-04 20:00:00+00:00,0.0
2021-12-04 21:00:00+00:00,0.0
2021-12-04 22:00:00+00:00,0.0
2021-12-04 23:00:00+00:00,0.0
2021-12-05 00:00:00+00:00,0.0
2021-12-05 01:00:00+00:00,0.0
2021-12-05 02:00:00+00:00,0.0
2021-12-05 03:00:00+00:00,0.0
2021-12-05 04:00:00+00:00,0.0
2021-12-05 05:00:00+00:00,0.0
2021-12-05 06:00:00+00:00,0.0
2021-12-05 07:00:00+00:00,0.038
2021-12-05 08:00:00+00:00,1.275
2021-12-05 09:00:00+00:00,4.304
2021-12-05 10:00:00+00:00,10.962
2021-12-05 11:00:00+00:00,14.857
2021-12-05 12:00:00+00:00,10.042
2021-12-05 13:00:00+00:00,8.886
2021-12-05 14:00:00+00:00,12.19
2021-12-05 15:00:00+00:00,2.563
2021-12-05 16:00:00+00:00,0.029
2021-12-05 17:00:00+00:00,0.0
2021-12-05 18:00:00+00:00,0.0
2021-12-05 19:00:00+00:00,0.0
2021-12-05 20:00:00+00:00,0.0
2021-12-05 21:00:00+00:00,0.0
2021-12-05 22:00:00+00:00,0.0
2021-12-05 23:00:00+00:00,0.0
2021-12-06 00:00:00+00:00,0.0
2021-12-06 01:00:00+00:00,0.0
2021-12-06 02:00:00+00:00,0.0
2021-12-06 03:00:00+00:00,0.0
2021-12-06 04:00:00+00:00,0.0
2021-12-06 05:00:00+00:00,0.0
2021-12-06 06:00:00+00:00,0.0
2021-12-06 07:00:00+00:00,0.335
2021-12-06 08:00:00+00:00,2.677
2021-12-06 10:00:00+00:00,10.476
2021-12-06 11:00:00+00:00,9.324
2021-12-06 12:00:00+00:00,10.637
2021-12-06 13:00:00+00:00,10.135
2021-12-06 14:00:00+00:00,4.752
2021-12-06 15:00:00+00:00,0.671
2021-12-06 16:00:00+00:00,0.005
2021-12-06 17:00:00+00:00,0.0
2021-12-06 18:00:00+00:00,0.0
2021-12-06 19:00:00+00:00,0.0
2021-12-06 20:00:00+00:00,0.0
2021-12-06 21:00:00+00:00,0.0
2021-12-06 22:00:00+00:00,0.0
2021-12-06 23:00:00+00:00,0.0
2021-12-07 00:00:00+00:00,0.0
2021-12-07 01:00:00+00:00,0.0
2021-12-07 02:00:00+00:00,0.0
2021-12-07 03:00:00+00:00,0.0
2021-12-07 04:00:00+00:00,0.0
2021-12-07 05:00:00+00:00,0.0
2021-12-07 06:00:00+00:00,0.0
2021-12-07 07:00:00+00:00,0.46
2021-12-07 08:00:00+00:00,4.977
2021-12-07 09:00:00+00:00,11.792
2021-12-07 10:00:00+00:00,17.382
2021-12-07 11:00:00+00:00,10.763
2021-12-07 12:00:00+00:00,9.634
2021-12-07 13:00:00+00:00,6.041
2021-12-07 14:00:00+00:00,5.059
2021-12-07 15:00:00+00:00,0.791
2021-12-07 16:00:00+00:00,0.001
2021-12-07 17:00:00+00:00,0.0
2021-12-07 18:00:00+00:00,0.0
2021-12-07 19:00:00+00:00,0.0
2021-12-07 20:00:00+00:00,0.0
2021-12-07 21:00:00+00:00,0.0
2021-12-07 22:00:00+00:00,0.0
2021-12-07 23:00:00+00:00,0.0
2021-12-08 00:00:00+00:00,0.0
2021-12-08 01:00:00+00:00,0.0
2021-12-08 02:00:00+00:00,0.0
2021-12-08 03:00:00+00:00,0.0
2021-12-08 04:00:00+00:00,0.0
2021-12-08 05:00:00+00:00,0.0
2021-12-08 06:00:00+00:00,0.0
2021-12-08 07:00:00+00:00,0.29
2021-12-08 08:00:00+00:00,3.573
2021-12-08 09:00:00+00:00,23.907
2021-12-08 10:00:00+00:00,35.081
2021-12-08 11:00:00+00:00,37.865
2021-12-08 12:00:00+00:00,48.721
2021-12-08 13:00:00+00:00,24.212
2021-12-08 14:00:00+00:00,16.949
2021-12-08 15:00:00+00:00,5.215
2021-12-08 16:00:00+00:00,0.036
2021-12-08 17:00:00+00:00,0.0
2021-12-08 18:00:00+00:00,0.0
2021-12-08 19:00:00+00:00,0.0
2021-12-08 20:00:00+00:00,0.0
2021-12-08 21:00:00+00:00,0.0
2021-12-08 22:00:00+00:00,0.0
2021-12-08 23:00:00+00:00,0.0
2021-12-09 00:00:00+00:00,0.0
2021-12-09 01:00:00+00:00,0.0
2021-12-09 02:00:00+00:00,0.0
2021-12-09 03:00:00+00:00,0.0
2021-12-09 04:00:00+00:00,0.0
2021-12-09 05:00:00+00:00,0.0
2021-12-09 06:00:00+00:00,0.0
2021-12-09 07:00:00+00:00,0.512
2021-12-09 08:00:00+00:00,7.745
2021-12-09 09:00:00+00:00,22.192
2021-12-09 10:00:00+00:00,33.303
2021-12-09 11:00:00+00:00,47.414
2021-12-09 12:00:00+00:00,46.455
2021-12-09 13:00:00+00:00,30.382
2021-12-09 14:00:00+00:00,17.407
2021-12-09 15:00:00+00:00,3.674
2021-12-09 16:00:00+00:00,0.021
2021-12-09 17:00:00+00:00,0.0
2021-12-09 18:00:00+00:00,0.0
2021-12-09 19:00:00+00:00,0.0
2021-12-09 20:00:00+00:00,0.0
2021-12-09 21:00:00+00:00,0.0
2021-12-09 22:00:00+00:00,0.0
2021-12-09 23:00:00+00:00,0.0
2021-12-10 00:00:00+00:00,0.0
2021-12-10 01:00:00+00:00,0.0
2021-12-10 02:00:00+00:00,0.0
2021-12-10 03:00:00+00:00,0.0
2021-12-10 04:00:00+00:00,0.0
2021-12-10 05:00:00+00:00,0.0
2021-12-10 06:00:00+00:00,0.0
2021-12-10 07:00:00+00:00,0.246
2021-12-10 08:00:00+00:00,7.944
2021-12-10 09:00:00+00:00,16.966
2021-12-10 10:00:00+00:00,32.037
2021-12-10 11:00:00+00:00,44.484
2021-12-10 12:00:00+00:00,44.843
2021-12-10 13:00:00+00:00,31.768
2021-12-10 14:00:00+00:00,15.011
2021-12-10 15:00:00+00:00,3.905
2021-12-10 16:00:00+00:00,0.028
2021-12-10 17:00:00+00:00,0.0
2021-12-10 18:00:00+00:00,0.0
2021-12-10 19:00:00+00:00,0.0
2021-12-10 20:00:00+00:00,0.0
2021-12-10 21:00:00+00:00,0.0
2021-12-10 22:00:00+00:00,0.0
2021-12-10 23:00:00+00:00,0.0
2021-12-11 00:00:00+00:00,0.0
2021-12-11 01:00:00+00:00,0.0
2021-12-11 02:00:00+00:00,0.0
2021-12-11 03:00:00+00:00,0.0
2021-12-11 04:00:00+00:00,0.0
2021-12-11 05:00:00+00:00,0.0
2021-12-11 06:00:00+00:00,0.0
2021-12-11 07:00:00+00:00,0.303
2021-12-11 08:00:00+00:00,5.143
2021-12-11 09:00:00+00:00,19.713
2021-12-11 10:00:00+00:00,34.325
2021-12-11 11:00:00+00:00,35.928
2021-12-11 12:00:00+00:00,37.204
2021-12-11 13:00:00+00:00,15.758
2021-12-11 14:00:00+00:00,8.328
2021-12-11 15:00:00+00:00,1.791
2021-12-11 16:00:00+00:00,0.004
2021-12-11 17:00:00+00:00,0.0
2021-12-11 18:00:00+00:00,0.0
2021-12-11 19:00:00+00:00,0.0
2021-12-11 20:00:00+00:00,0.0
2021-12-11 21:00:00+00:00,0.0
2021-12-11 22:00:00+00:00,0.0
2021-12-11 23:00:00+00:00,0.0
2021-12-12 00:00:00+00:00,0.0
2021-12-12 01:00:00+00:00,0.0
2021-12-12 02:00:00+00:00,0.0
2021-12-12 03:00:00+00:00,0.0
2021-12-12 04:00:00+00:00,0.0
2021-12-12 05:00:00+00:00,0.0
2021-12-12 06:00:00+00:00,0.0
2021-12-12 07:00:00+00:00,0.042
2021-12-12 08:00:00+00:00,1.801
2021-12-12 09:00:00+00:00,10.524
2021-12-12 10:00:00+00:00,15.994
2021-12-12 11:00:00+00:00,24.763
2021-12-12 12:00:00+00:00,14.9
2021-12-12 13:00:00+00:00,8.676
2021-12-12 14:00:00+00:00,7.491
2021-12-12 15:00:00+00:00,1.194
2021-12-12 16:00:00+00:00,0.004
2021-12-12 17:00:00+00:00,0.0
2021-12-12 18:00:00+00:00,0.0
2021-12-12 19:00:00+00:00,0.0
2021-12-12 20:00:00+00:00,0.0
2021-12-12 21:00:00+00:00,0.0
2021-12-12 22:00:00+00:00,0.0
2021-12-12 23:00:00+00:00,0.0
2021-12-13 00:00:00+00:00,0.0
2021-12-13 01:00:00+00:00,0.0
2021-12-13 02:00:00+00:00,0.0
2021-12-13 03:00:00+00:00,0.0
2021-12-13 04:00:00+00:00,0.0
2021-12-13 05:00:00+00:00,0.0
2021-12-13 06:00:00+00:00,0.0
2021-12-13 07:00:00+00:00,0.32
2021-12-13 08:00:00+00:00,5.361
2021-12-13 09:00:00+00:00,18.728
2021-12-13 10:00:00+00:00,24.844
2021-12-13 11:00:00+00:00,24.874
2021-12-13 12:00:00+00:00,8.937
2021-12-13 12:00:00+00:00,8.937
2021-12-13 13:00:00+00:00,9.421
2021-12-13 14:00:00+00:00,6.959
2021-12-13 15:00:00+00:00,1.244
2021-12-13 16:00:00+00:00,0.003
2021-12-13 17:00:00+00:00,0.0
2021-12-13 18:00:00+00:00,0.0
2021-12-13 19:00:00+00:00,0.0
2021-12-13 20:00:00+00:00,0.0
2021-12-13 21:00:00+00:00,0.0
2021-12-13 22:00:00+00:00,0.0
2021-12-13 23:00:00+00:00,0.0
2021-12-14 00:00:00+00:00,0.0
2021-12-14 01:00:00+00:00,0.0
2021-12-14 02:00:00+00:00,0.0
2021-12-14 03:00:00+00:00,0.0
2021-12-14 04:00:00+00:00,0.0
2021-12-14 05:00:00+00:00,0.0
2021-12-14 06:00:00+00:00,0.0
2021-12-14 07:00:00+00:00,0.106
2021-12-14 08:00:00+00:00,2.873
2021-12-14 09:00:00+00:00,11.453
2021-12-14 10:00:00+00:00,21.447
2021-12-14 11:00:00+00:00,23.961
2021-12-14 12:00:00+00:00,30.099
2021-12-14 13:00:00+00:00,21.059
2021-12-14 14:00:00+00:00,5.751
2021-12-14 15:00:00+00:00,1.148
2021-12-14 16:00:00+00:00,0.007
2021-12-14 17:00:00+00:00,0.0
2021-12-14 18:00:00+00:00,0.0
2021-12-14 19:00:00+00:00,0.0
2021-12-14 20:00:00+00:00,0.0
2021-12-14 21:00:00+00:00,0.0
2021-12-14 22:00:00+00:00,0.0
2021-12-14 23:00:00+00:00,0.0
2021-12-15 00:00:00+00:00,0.0
2021-12-15 01:00:00+00:00,0.0
2021-12-15 02:00:00+00:00,0.0
2021-12-15 03:00:00+00:00,0.0
2021-12-15 04:00:00+00:00,0.0
2021-12-15 05:00:00+00:00,0.0
2021-12-15 06:00:00+00:00,0.0
2021-12-15 07:00:00+00:00,0.021
2021-12-15 08:00:00+00:00,1.989
2021-12-15 09:00:00+00:00,8.055
2021-12-15 10:00:00+00:00,10.161
2021-12-15 11:00:00+00:00,14.975
2021-12-15 12:00:00+00:00,17.695
2021-12-15 13:00:00+00:00,13.223
2021-12-15 14:00:00+00:00,5.304
2021-12-15 15:00:00+00:00,0.896
2021-12-15 16:00:00+00:00,0.003
2021-12-15 17:00:00+00:00,0.0
2021-12-15 18:00:00+00:00,0.0
2021-12-15 19:00:00+00:00,0.0
2021-12-15 20:00:00+00:00,0.0
2021-12-15 21:00:00+00:00,0.0
2021-12-15 22:00:00+00:00,0.0
2021-12-15 23:00:00+00:00,0.0
2021-12-16 00:00:00+00:00,0.0
2021-12-16 01:00:00+00:00,0.0
2021-12-16 02:00:00+00:00,0.0
2021-12-16 03:00:00+00:00,0.0
2021-12-16 04:00:00+00:00,0.0
2021-12-16 05:00:00+00:00,0.0
2021-12-16 06:00:00+00:00,0.0
2021-12-16 07:00:00+00:00,0.021
2021-12-16 08:00:00+00:00,0.906
2021-12-16 09:00:00+00:00,2.639
2021-12-16 10:00:00+00:00,5.042
2021-12-16 11:00:00+00:00,6.249
2021-12-16 12:00:00+00:00,6.874
2021-12-16 13:00:00+00:00,7.295
2021-12-16 14:00:00+00:00,5.922
2021-12-16 15:00:00+00:00,2.014
2021-12-16 16:00:00+00:00,0.019
2021-12-16 17:00:00+00:00,0.0
2021-12-16 18:00:00+00:00,0.0
2021-12-16 19:00:00+00:00,0.0
2021-12-16 20:00:00+00:00,0.0
2021-12-16 21:00:00+00:00,0.0
2021-12-16 22:00:00+00:00,0.0
2021-12-16 23:00:00+00:00,0.0
2021-12-17 00:00:00+00:00,0.0
2021-12-17 01:00:00+00:00,0.0
2021-12-17 02:00:00+00:00,0.0
2021-12-17 03:00:00+00:00,0.0
2021-12-17 04:00:00+00:00,0.0
2021-12-17 05:00:00+00:00,0.0
2021-12-17 06:00:00+00:00,0.0
2021-12-17 07:00:00+00:00,0.085
2021-12-17 08:00:00+00:00,2.063
2021-12-17 09:00:00+00:00,5.319
2021-12-17 10:00:00+00:00,8.994
2021-12-17 11:00:00+00:00,11.975
2021-12-17 12:00:00+00:00,8.444
2021-12-17 13:00:00+00:00,10.268
2021-12-17 14:00:00+00:00,5.375
2021-12-17 15:00:00+00:00,1.477
2021-12-17 16:00:00+00:00,0.02
2021-12-17 17:00:00+00:00,0.0
2021-12-17 18:00:00+00:00,0.0
2021-12-17 19:00:00+00:00,0.0
2021-12-17 20:00:00+00:00,0.0
