time,solar_irrad
2022-05-30 00:00:00+00:00,0.044
2022-05-30 01:00:00+00:00,0.047
2022-05-30 02:00:00+00:00,0.042
2022-05-30 03:00:00+00:00,0.041
2022-05-30 04:00:00+00:00,0.04
2022-05-30 05:00:00+00:00,1.797
2022-05-30 06:00:00+00:00,32.142
2022-05-30 07:00:00+00:00,97.018
2022-05-30 08:00:00+00:00,250.559
2022-05-30 09:00:00+00:00,480.723
2022-05-30 10:00:00+00:00,767.972
2022-05-30 11:00:00+00:00,875.247
2022-05-30 12:00:00+00:00,904.149
2022-05-30 13:00:00+00:00,851.518
2022-05-30 14:00:00+00:00,751.212
2022-05-30 15:00:00+00:00,594.888
2022-05-30 16:00:00+00:00,314.29
2022-05-30 17:00:00+00:00,152.677
2022-05-30 18:00:00+00:00,35.294
2022-05-30 19:00:00+00:00,0.223
2022-05-30 20:00:00+00:00,0.066
2022-05-30 21:00:00+00:00,0.064
2022-05-30 22:00:00+00:00,0.064
2022-05-30 23:00:00+00:00,0.06
2022-05-31 00:00:00+00:00,0.059
2022-05-31 01:00:00+00:00,0.059
2022-05-31 02:00:00+00:00,0.057
2022-05-31 03:00:00+00:00,0.052
2022-05-31 04:00:00+00:00,0.051
2022-05-31 05:00:00+00:00,1.293
2022-05-31 06:00:00+00:00,49.144
2022-05-31 07:00:00+00:00,92.819
2022-05-31 08:00:00+00:00,272.065
2022-05-31 09:00:00+00:00,629.216
2022-05-31 10:00:00+00:00,808.185
2022-05-31 11:00:00+00:00,721.839
2022-05-31 12:00:00+00:00,548.518
2022-05-31 13:00:00+00:00,301.884
2022-05-31 14:00:00+00:00,357.33
2022-05-31 15:00:00+00:00,486.244
2022-05-31 16:00:00+00:00,275.592
2022-05-31 17:00:00+00:00,101.107
2022-05-31 18:00:00+00:00,5.581
2022-05-31 19:00:00+00:00,0.05
2022-05-31 20:00:00+00:00,0.029
2022-05-31 21:00:00+00:00,0.026
2022-05-31 22:00:00+00:00,0.026
2022-05-31 23:00:00+00:00,0.037
2022-06-01 00:00:00+00:00,0.041
2022-06-01 01:00:00+00:00,0.039
2022-06-01 02:00:00+00:00,0.035
2022-06-01 03:00:00+00:00,0.035
2022-06-01 04:00:00+00:00,0.032
2022-06-01 05:00:00+00:00,1.472
2022-06-01 06:00:00+00:00,37.757
2022-06-01 07:00:00+00:00,132.107
2022-06-01 08:00:00+00:00,222.168
2022-06-01 09:00:00+00:00,457.883
2022-06-01 10:00:00+00:00,277.157
2022-06-01 11:00:00+00:00,493.884
2022-06-01 12:00:00+00:00,848.651
2022-06-01 13:00:00+00:00,842.813
2022-06-01 14:00:00+00:00,702.022
2022-06-01 15:00:00+00:00,292.438
2022-06-01 16:00:00+00:00,158.229
2022-06-01 17:00:00+00:00,104.892
2022-06-01 18:00:00+00:00,40.651
2022-06-01 19:00:00+00:00,0.295
2022-06-01 20:00:00+00:00,0.059
2022-06-01 21:00:00+00:00,0.053
2022-06-01 22:00:00+00:00,0.047
2022-06-01 23:00:00+00:00,0.047
2022-06-02 00:00:00+00:00,0.051
2022-06-02 01:00:00+00:00,0.051
2022-06-02 02:00:00+00:00,0.054
2022-06-02 03:00:00+00:00,0.047
2022-06-02 04:00:00+00:00,0.045
2022-06-02 05:00:00+00:00,1.341
2022-06-02 06:00:00+00:00,42.504
2022-06-02 07:00:00+00:00,106.655
2022-06-02 08:00:00+00:00,295.674
2022-06-02 09:00:00+00:00,542.102
2022-06-02 10:00:00+00:00,655.758
2022-06-02 11:00:00+00:00,632.801
2022-06-02 12:00:00+00:00,686.502
2022-06-02 13:00:00+00:00,568.186
2022-06-02 14:00:00+00:00,294.159
2022-06-02 15:00:00+00:00,320.21
2022-06-02 16:00:00+00:00,283.314
2022-06-02 17:00:00+00:00,163.621
2022-06-02 18:00:00+00:00,27.729
2022-06-02 19:00:00+00:00,0.226
2022-06-02 20:00:00+00:00,0.062
2022-06-02 21:00:00+00:00,0.057
2022-06-02 22:00:00+00:00,0.051
2022-06-02 23:00:00+00:00,0.053
2022-06-03 00:00:00+00:00,0.05
2022-06-03 01:00:00+00:00,0.049
2022-06-03 02:00:00+00:00,0.045
2022-06-03 03:00:00+00:00,0.043
2022-06-03 04:00:00+00:00,0.04
2022-06-03 05:00:00+00:00,1.196
2022-06-03 06:00:00+00:00,27.139
2022-06-03 07:00:00+00:00,73.951
2022-06-03 08:00:00+00:00,311.959
2022-06-03 09:00:00+00:00,613.552
2022-06-03 10:00:00+00:00,772.57
2022-06-03 11:00:00+00:00,855.105
2022-06-03 12:00:00+00:00,928.527
2022-06-03 13:00:00+00:00,375.378
2022-06-03 14:00:00+00:00,482.956
2022-06-03 15:00:00+00:00,452.026
2022-06-03 16:00:00+00:00,278.988
2022-06-03 17:00:00+00:00,168.31
2022-06-03 18:00:00+00:00,36.074
2022-06-03 19:00:00+00:00,0.424
2022-06-03 20:00:00+00:00,0.065
2022-06-03 21:00:00+00:00,0.062
2022-06-03 22:00:00+00:00,0.063
2022-06-03 23:00:00+00:00,0.062
2022-06-04 00:00:00+00:00,0.057
2022-06-04 01:00:00+00:00,0.054
2022-06-04 02:00:00+00:00,0.057
2022-06-04 03:00:00+00:00,0.055
2022-06-04 04:00:00+00:00,0.051
2022-06-04 05:00:00+00:00,1.946
2022-06-04 06:00:00+00:00,30.199
2022-06-04 07:00:00+00:00,47.108
2022-06-04 08:00:00+00:00,345.984
2022-06-04 09:00:00+00:00,636.898
2022-06-04 10:00:00+00:00,784.575
2022-06-04 11:00:00+00:00,643.129
2022-06-04 12:00:00+00:00,520.727
2022-06-04 13:00:00+00:00,726.26
2022-06-04 14:00:00+00:00,557.724
2022-06-04 15:00:00+00:00,411.831
2022-06-04 16:00:00+00:00,224.17
2022-06-04 17:00:00+00:00,93.611
2022-06-04 18:00:00+00:00,28.117
2022-06-04 19:00:00+00:00,0.22
2022-06-04 20:00:00+00:00,0.051
2022-06-04 21:00:00+00:00,0.05
2022-06-04 22:00:00+00:00,0.049
2022-06-04 23:00:00+00:00,0.049
2022-06-05 00:00:00+00:00,0.05
2022-06-05 01:00:00+00:00,0.047
2022-06-05 02:00:00+00:00,0.044
2022-06-05 03:00:00+00:00,0.041
2022-06-05 04:00:00+00:00,0.036
