time,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,temperature_2m,relativehumidity_2m,rain,weathercode,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,windspeed_10m,vapor_pressure_deficit,solar_irrad
2021-11-27 00:00:00+00:00,0.0,0.0,0.0,0.0,22.6,91.0,0.0,2.0,50.0,11.0,33.0,69.0,4.5,0.26,0.059
2021-11-27 01:00:00+00:00,0.0,0.0,0.0,0.0,22.2,92.0,0.0,1.0,43.0,5.0,27.0,73.0,5.4,0.21,0.048
2021-11-27 02:00:00+00:00,0.0,0.0,0.0,0.0,22.6,88.0,0.0,1.0,49.0,8.0,29.0,81.0,5.1,0.32,0.047
2021-11-27 03:00:00+00:00,0.0,0.0,0.0,0.0,22.2,90.0,0.0,1.0,46.0,8.0,25.0,80.0,5.1,0.28,0.046
2021-11-27 04:00:00+00:00,0.0,0.0,0.0,0.0,21.9,91.0,0.0,1.0,32.0,6.0,27.0,34.0,5.0,0.24,0.047
2021-11-27 05:00:00+00:00,0.0,0.0,0.0,0.0,21.5,92.0,0.0,3.0,94.0,85.0,20.0,18.0,3.6,0.2,0.051
2021-11-27 06:00:00+00:00,0.0,0.0,0.0,0.0,20.9,94.0,0.0,0.0,19.0,8.0,15.0,10.0,3.5,0.16,4.069
2021-11-27 07:00:00+00:00,4.0,1.0,3.0,14.0,20.5,95.0,0.0,1.0,21.0,10.0,19.0,1.0,3.9,0.12,48.12
2021-11-27 08:00:00+00:00,102.0,55.0,47.0,302.9,21.9,93.0,0.0,0.0,19.0,10.0,12.0,8.0,3.9,0.19,110.536
2021-11-27 09:00:00+00:00,249.0,153.0,96.0,397.9,24.1,81.0,0.0,1.0,36.0,27.0,7.0,26.0,4.1,0.58,258.805
2021-11-27 10:00:00+00:00,407.0,288.0,119.0,519.3,25.4,72.0,0.0,1.0,28.0,22.0,2.0,24.0,6.3,0.91,738.341
2021-11-27 11:00:00+00:00,561.0,389.0,172.0,573.1,26.5,66.0,0.0,3.0,82.0,85.0,0.0,19.0,7.2,1.17,718.532
2021-11-27 12:00:00+00:00,448.0,218.0,230.0,291.1,26.7,65.0,0.0,3.0,90.0,91.0,0.0,27.0,4.7,1.24,330.163
2021-11-27 13:00:00+00:00,423.0,145.0,278.0,190.8,26.9,64.0,0.0,2.0,62.0,59.0,9.0,11.0,4.0,1.28,823.085
2021-11-27 14:00:00+00:00,414.0,238.0,176.0,334.6,25.9,69.0,0.0,1.0,44.0,32.0,21.0,7.0,3.8,1.03,676.006
2021-11-27 15:00:00+00:00,310.0,147.0,163.0,242.5,26.2,67.0,0.0,2.0,65.0,45.0,33.0,17.0,4.6,1.11,498.717
2021-11-27 16:00:00+00:00,209.0,87.0,122.0,192.5,26.0,69.0,0.0,2.0,56.0,39.0,22.0,26.0,5.2,1.05,205.055
2021-11-27 17:00:00+00:00,141.0,63.0,78.0,243.3,25.6,76.0,0.0,1.0,25.0,1.0,10.0,59.0,2.2,0.8,26.278
2021-11-27 18:00:00+00:00,21.0,7.0,14.0,62.0,24.5,85.0,0.0,1.0,22.0,4.0,9.0,44.0,3.2,0.47000000000000003,0.072
2021-11-27 19:00:00+00:00,0.0,0.0,0.0,0.0,23.4,87.0,0.0,0.0,18.0,8.0,10.0,15.0,4.0,0.36,0.063
2021-11-27 20:00:00+00:00,0.0,0.0,0.0,0.0,22.5,90.0,0.0,0.0,19.0,13.0,12.0,0.0,5.8,0.28,0.058
2021-11-27 21:00:00+00:00,0.0,0.0,0.0,0.0,21.9,91.0,0.0,0.0,14.0,8.0,11.0,0.0,6.6,0.24,0.058
2021-11-27 22:00:00+00:00,0.0,0.0,0.0,0.0,21.4,92.0,0.0,0.0,17.0,12.0,11.0,0.0,6.4,0.21,0.055
2021-11-27 23:00:00+00:00,0.0,0.0,0.0,0.0,21.0,93.0,0.0,0.0,17.0,16.0,5.0,0.0,6.7,0.18,0.051
2021-11-28 00:00:00+00:00,0.0,0.0,0.0,0.0,20.6,93.0,0.0,1.0,24.0,21.0,8.0,0.0,6.3,0.16,0.053
2021-11-28 01:00:00+00:00,0.0,0.0,0.0,0.0,20.2,94.0,0.0,1.0,25.0,20.0,11.0,0.0,5.7,0.14,0.051
2021-11-28 02:00:00+00:00,0.0,0.0,0.0,0.0,20.7,92.0,0.0,1.0,28.0,25.0,9.0,0.0,5.8,0.19,0.052
2021-11-28 03:00:00+00:00,0.0,0.0,0.0,0.0,20.2,94.0,0.0,1.0,23.0,19.0,9.0,0.0,5.5,0.15,0.05
2021-11-28 04:00:00+00:00,0.0,0.0,0.0,0.0,19.6,95.0,0.0,0.0,16.0,12.0,9.0,0.0,6.2,0.11,0.045
2021-11-28 05:00:00+00:00,0.0,0.0,0.0,0.0,19.4,95.0,0.0,3.0,95.0,100.0,9.0,0.0,4.9,0.1,0.043
2021-11-28 06:00:00+00:00,0.0,0.0,0.0,0.0,19.0,96.0,0.0,3.0,94.0,100.0,6.0,0.0,3.2,0.09,3.512
