latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.40001,0.5,17.0,3600,Europe/London,BST

time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),precipitation (mm),rain (mm),weathercode (wmo code),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),windspeed_10m (km/h),windspeed_100m (km/h),vapor_pressure_deficit (kPa)
2022-06-01T00:00,10.3,80,7.0,0.00,0.00,0,2,0,0,5,0.0,0.0,0.0,0.0,9.4,10.5,0.25
2022-06-01T01:00,9.6,80,6.4,0.00,0.00,2,73,10,61,91,0.0,0.0,0.0,0.0,7.4,6.0,0.23
2022-06-01T02:00,9.0,80,5.8,0.00,0.00,2,79,20,76,50,0.0,0.0,0.0,0.0,7.1,6.0,0.23
2022-06-01T03:00,8.6,81,5.5,0.00,0.00,1,41,3,63,0,0.0,0.0,0.0,0.0,6.0,6.0,0.21
2022-06-01T04:00,8.2,83,5.4,0.00,0.00,0,0,0,0,0,0.0,0.0,0.0,0.0,6.0,6.0,0.19
2022-06-01T05:00,7.7,85,5.3,0.00,0.00,0,17,0,29,0,0.0,0.0,0.0,0.0,6.0,6.0,0.16
2022-06-01T06:00,8.1,86,5.8,0.00,0.00,1,46,0,76,0,43.0,15.0,28.0,0.0,6.0,6.0,0.15
2022-06-01T07:00,9.6,82,6.7,0.00,0.00,2,53,0,89,0,157.0,86.0,71.0,285.6,6.0,24.4,0.21
2022-06-01T08:00,10.9,82,8.0,0.00,0.00,2,54,0,90,0,192.0,72.0,120.0,288.7,6.0,20.9,0.23
2022-06-01T09:00,12.3,75,8.0,0.00,0.00,1,50,1,81,0,362.0,150.0,212.0,225.1,6.0,18.4,0.36
2022-06-01T10:00,13.5,64,6.8,0.00,0.00,1,39,23,31,0,501.0,259.0,242.0,346.4,6.0,19.1,0.56
2022-06-01T11:00,13.9,62,6.8,0.70,0.70,53,100,56,90,0,451.0,268.0,183.0,378.5,6.0,16.1,0.60
2022-06-01T12:00,14.6,63,7.7,0.00,0.00,3,100,73,76,0,556.0,330.0,226.0,374.6,6.0,15.4,0.61
2022-06-01T13:00,15.1,64,8.3,0.00,0.00,3,100,65,78,0,551.0,323.0,228.0,375.4,6.0,17.1,0.63
2022-06-01T14:00,16.2,63,9.1,0.10,0.10,51,89,63,53,0,798.0,567.0,231.0,507.6,6.0,17.8,0.69
2022-06-01T15:00,16.8,63,9.6,0.10,0.10,51,33,19,27,0,777.0,611.0,166.0,712.9,6.0,18.8,0.72
