time,status,operation_mode,grid_status,grid_power,battery_soc,battery_power,backup_reserve_percent,battery_voltage,battery_amperage,load_power,load_voltage,load_amperage,solar_power,solar_voltage,solar_amperage,frequency,nominal_full_pack_energy
2022-05-31 20:00:00 +0000,ok,autonomous,SystemGridConnected,-1.401,79.041,1120.186,9.75,232.24,-26.23,1093.962,401.498,2.725,-25.144,206.233,0.802,49.986,27841.0
2022-05-31 21:00:00 +0000,ok,autonomous,SystemGridConnected,-1.549,74.339,1530.664,9.75,232.727,-35.398,1505.135,402.183,3.736,-23.958,206.588,0.778,49.993,27841.0
2022-05-31 22:00:00 +0000,ok,autonomous,SystemGridConnected,-0.874,69.133,1018.242,9.75,234.385,-24.465,983.324,405.269,2.427,-32.996,208.177,0.784,50.007,27841.0
2022-05-31 23:00:00 +0000,ok,autonomous,SystemGridConnected,925.385,65.953,438.574,9.75,232.136,-10.973,1346.65,401.681,3.36,-15.454,206.363,0.465,49.997,27841.0
2022-06-01 00:00:00 +0000,ok,autonomous,SystemGridConnected,2254.42,65.053,-3.318,9.75,230.772,-0.394,2246.585,399.634,5.624,-4.24,205.346,0.139,49.972,27793.1
2022-06-01 01:00:00 +0000,ok,autonomous,SystemGridConnected,2068.193,64.809,-3.678,9.75,231.354,-0.39,2058.958,400.621,5.153,-4.4,205.849,0.14,49.939,27795.685
2022-06-01 02:00:00 +0000,ok,autonomous,SystemGridConnected,818.229,64.76,-3.006,9.75,232.5,-0.395,810.373,402.562,2.013,-5.003,206.844,0.14,49.952,27793.592
2022-06-01 03:00:00 +0000,ok,autonomous,SystemGridConnected,449.457,64.314,400.186,9.75,233.445,-10.191,836.013,403.94,2.07,-13.56,207.53,0.49,49.993,27791.849
2022-06-01 04:00:00 +0000,ok,autonomous,SystemGridConnected,-1.386,61.738,632.591,9.75,232.922,-16.031,773.969,402.836,1.921,141.505,206.927,1.078,49.944,27785.0
2022-06-01 05:00:00 +0000,ok,autonomous,SystemGridConnected,-0.171,59.909,209.718,9.75,232.492,-6.24,782.521,402.323,1.945,572.377,206.676,2.634,49.984,27785.0
2022-06-01 06:00:00 +0000,ok,autonomous,SystemGridConnected,0.691,60.587,-799.774,9.75,233.04,15.974,810.123,403.792,2.006,1610.627,207.425,7.029,49.993,27785.0
2022-06-01 07:00:00 +0000,ok,autonomous,SystemGridConnected,-0.593,65.135,-1999.446,9.75,232.83,41.557,1041.358,403.928,2.585,3040.823,207.497,13.178,50.034,27785.0
2022-06-01 08:00:00 +0000,ok,autonomous,SystemGridConnected,4.002,74.294,-3675.672,9.75,232.12,75.825,1071.824,403.443,2.656,4746.816,207.245,20.516,50.026,27785.0
2022-06-01 09:00:00 +0000,ok,autonomous,SystemGridConnected,-0.351,84.779,-2332.636,9.75,235.928,46.908,1060.329,409.396,2.59,3390.785,210.295,14.471,49.943,27785.0
2022-06-01 10:00:00 +0000,ok,autonomous,SystemGridConnected,-245.58,93.634,-3227.955,9.75,233.592,63.498,1254.673,405.801,3.092,4727.614,208.46,20.321,49.991,27785.0
2022-06-01 11:00:00 +0000,ok,autonomous,SystemGridConnected,-1064.095,99.991,-44.803,9.75,233.35,0.25,1247.302,403.978,3.087,2355.843,207.554,10.228,49.994,27787.816
2022-06-01 12:00:00 +0000,ok,autonomous,SystemGridConnected,-4031.288,100.0,2.965,9.75,240.586,-0.53,965.946,416.489,2.324,4994.173,213.971,20.785,49.976,27789.0
2022-06-01 13:00:00 +0000,ok,autonomous,SystemGridConnected,-4854.302,100.0,-3.405,9.75,240.197,-0.382,794.441,415.806,1.913,5651.158,213.619,23.57,49.978,27793.731
2022-06-01 14:00:00 +0000,ok,autonomous,SystemGridConnected,-3376.144,100.0,-0.886,9.75,237.664,-0.44,838.821,411.461,2.039,4217.558,211.398,17.797,50.009,27782.372
2022-06-01 15:00:00 +0000,ok,autonomous,SystemGridConnected,-2385.285,100.0,190.452,9.75,235.779,-4.849,1625.073,408.063,3.996,3820.317,209.641,16.281,50.002,27778.045
2022-06-01 16:00:00 +0000,ok,autonomous,SystemGridConnected,-1331.569,100.0,185.051,9.75,234.947,-4.698,1355.721,406.657,3.338,2500.961,208.908,10.761,49.978,27778.712
