timestamp,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),is_day (),sunshine_duration (s),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²)
2021-12-14T00:00,18.8,89,16.9,20.3,0.00,0.00,0,1015.9,979.9,2,2,0,0,0.24,6.0,7.8,335,338,0,0.00,0.0,0.0,0.0,0.0
2021-12-14T01:00,17.7,92,16.3,18.8,0.00,0.00,0,1015.5,979.4,3,3,0,0,0.17,7.4,8.1,321,315,0,0.00,0.0,0.0,0.0,0.0
2021-12-14T02:00,17.5,91,15.9,18.5,0.00,0.00,0,1015.0,978.9,0,0,0,0,0.19,6.8,7.9,335,321,0,0.00,0.0,0.0,0.0,0.0
2021-12-14T03:00,17.3,90,15.6,18.3,0.00,0.00,0,1014.6,978.5,0,0,0,0,0.20,6.3,8.7,336,330,0,0.00,0.0,0.0,0.0,0.0
2021-12-14T04:00,16.9,91,15.4,17.8,0.00,0.00,0,1014.6,978.5,0,0,0,0,0.18,6.2,9.7,339,338,0,0.00,0.0,0.0,0.0,0.0
2021-12-14T05:00,16.5,92,15.2,17.4,0.00,0.00,0,1014.7,978.5,0,0,0,0,0.15,5.5,10.4,328,340,0,0.00,0.0,0.0,0.0,0.0
2021-12-14T06:00,16.1,93,14.9,16.9,0.00,0.00,0,1015.4,979.1,0,0,0,0,0.14,5.4,9.4,323,342,0,0.00,0.0,0.0,0.0,0.0
2021-12-14T07:00,16.7,94,15.7,17.9,0.00,0.00,0,1016.4,980.2,7,8,0,0,0.12,5.0,12.2,330,341,1,0.00,1.0,0.0,1.0,0.0
2021-12-14T08:00,18.6,90,16.8,20.1,0.00,0.00,0,1017.0,981.0,1,1,0,0,0.22,6.0,11.3,327,338,1,2904.25,93.0,56.0,37.0,349.5
2021-12-14T09:00,21.1,82,17.9,23.4,0.00,0.00,0,1017.8,982.1,0,0,0,0,0.45,4.0,6.9,333,332,1,3600.00,296.0,225.0,71.0,655.0
