id,Usage,timestamp,actual_0,actual_1,actual_2,actual_3,actual_4,actual_5,actual_6,actual_7,actual_8,actual_9,actual_10,actual_11,actual_12,actual_13,actual_14,actual_15,actual_16,actual_17,actual_18,actual_19,actual_20,actual_21,actual_22,actual_23
0,Public,2023-05-24 12:00:00+07:00,11612.27,19049.1,22878.932,20071.528,3082.311,2592.475,3095.508,3042.549,2773.19,2659.386,2759.701,2593.696,2260,2279.247,2241.939,2243.733,2192.81,2214.323,2631.932,2524.225,4975.401,15936.508,19718.706,19239.969
1,Public,2023-08-26 11:00:00+07:00,6718.382,3682.14,6869.621,6638.495,6707.388,4814.618,2476.983,3127.2,3209.876,2839.346,2386.143,2328.766,2489.172,2333.902,2208.681,2165.529,2250.591,2296.975,2408.975,2470.346,2629.412,2508.784,6481.499,8790.139
2,Public,2023-02-21 19:00:00+07:00,3722.132,5535.354,3606.023,2353.618,2342.23,2320.117,2286.034,2479.048,2290.698,2258.777,2218.498,2341.834,2294.854,4634.614,6199.311,17526.946,16445.814,11295.202,18752.51,20153.545,18172.637,9120.544,2749.054,2617.8
3,Public,2023-06-29 09:00:00+07:00,7352.863,13306.212,17546.046,6771.112,9559.888,9698.384,9559.189,5886.557,3119.363,3115.729,3011.256,3145.169,3130.216,2732.311,2544.099,2648.936,2432.989,2570.371,2515.315,2652.659,2587.427,2899.592,2746.022,3100.5
4,Public,2023-07-28 03:00:00+07:00,2106.291,2059.454,2195.438,2529.502,2504.16,2659.106,5701.876,8028.462,9563.769,4326.942,8014.857,7310.815,7730.703,6003.344,2275.207,2747.107,2928.023,2921.124,2677.236,2573.737,2711.415,2511.663,2256.353,2230.347
5,Public,2023-08-25 05:00:00+07:00,2327.913,2520.97,2402.527,2952.565,11891.522,13263.941,10040.178,2282.552,2766.121,4670.625,5198.262,4830.67,2283.011,2650.445,2874.815,2689.436,2508.613,2678.635,2546.057,2264.248,2394.751,2194.753,2476.73,2310.797
6,Public,2023-03-13 02:00:00+07:00,2703.627,2712.674,2732.301,2709.972,2780.16,2723.279,3970.822,3082.647,2814.429,2745.834,2527.38,2664.574,2712.912,2438.066,2463.524,2442.087,2635.306,2712.065,2927.541,2844.204,2833.52,2672.445,2617.907,2745.063
7,Public,2023-08-06 21:00:00+07:00,2695.322,2642.723,2482.955,2458.663,2236.602,2291.171,2284.876,2402.622,2230.918,2476.658,2467.505,2998.15,3402.703,3370.258,4627.211,3279.53,4765.277,5797.544,4419.107,2541.005,2688.504,2642.492,2761.175,2670.399
8,Public,2023-01-19 02:00:00+07:00,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15
9,Public,2023-10-03 04:00:00+07:00,2091.632,2167.008,2321.557,2073.597,5366.148,12482.553,12913.039,18777.781,19407.21,26425.692,22031.37,20986.218,12626.022,5714.533,5386.642,4957.716,5220.98,4993.29,4598.285,4944.698,4468.182,4310.554,4500.167,4394.542
10,Public,2023-03-01 01:00:00+07:00,2674.265,2499.822,2486.086,2626.023,2537.893,2646.684,3136.94,6509.29,8365.359,10773.557,18824.51,13773.791,19388.697,23678.067,19075.168,11031.446,3659.669,3248.461,2884.441,3858.436,5115.286,3887.161,2675.01,2790.205
