id,Usage,timestamp,actual_0,actual_1,actual_2,actual_3,actual_4,actual_5,actual_6,actual_7,actual_8,actual_9,actual_10,actual_11,actual_12,actual_13,actual_14,actual_15,actual_16,actual_17,actual_18,actual_19,actual_20,actual_21,actual_22,actual_23
0,Public,2023-06-23 19:00:00+07:00,0.511,0.04,0.042,0.037,0.043,0.038,0.041,0.039,0.034,0.03,0.765,37.643,129.196,272.706,444.979,732.315,494.481,437.078,379.381,393.196,132.699,67.286,79.012,33.143
1,Public,2023-08-28 02:00:00+07:00,0.035,0.037,0.046,0.053,11.588,109.388,291.199,524.544,699.342,299.018,261.295,386.144,616.295,460.352,159.699,66.489,9.765,0.048,0.042,0.041,0.04,0.039,0.036,0.027
2,Public,2023-11-04 20:00:00+07:00,0.041,0.03,0.024,0.024,0.016,0.019,0.013,0.011,0.008,0.011,13.151,137.201,324.979,510.607,558.943,712.982,688.381,530.386,367.444,169.239,142.495,15.324,0.084,0.038
3,Public,2023-12-07 11:00:00+07:00,540.276,517.021,521.774,306.833,97.364,70.136,12.163,0.042,0.019,0.008,0.015,0.008,0.012,0.011,0.016,0.021,0.017,0.012,0.009,3.492,35.444,125.194,180.542,371.111
4,Public,2023-10-04 03:00:00+07:00,0.021,0.024,0.036,28.786,206.123,430.097,632.064,761.185,835.618,841.622,784.049,522.689,236.38,101.255,57.982,0.874,0.051,0.046,0.048,0.051,0.035,0.034,0.023,0.022
5,Public,2023-06-16 19:00:00+07:00,0.429,0.02,0.017,0.015,0.013,0.025,0.023,0.023,0.023,0.023,1.136,89.094,256.914,387.937,729.445,739.333,921.573,709.151,773.309,778.682,476.86,442.278,201.072,41.898
6,Public,2023-04-22 03:00:00+07:00,0.02,0.011,0.147,30.091,146.783,321.948,493.03,663.194,787.045,842.773,319.201,249.4,0.02,0.014,0.009,0.015,0.016,0.016,0.014,0.016,0.017,0.018,3.212,69.554
7,Public,2023-09-07 15:00:00+07:00,347.633,208.55,26.981,5.708,0.057,0.053,0.027,0.017,0.015,0.012,0.017,0.022,0.018,0.027,0.047,28.742,185.112,324.756,721.73,723.419,718.5,885.122,977.166,720.249
8,Public,2023-06-02 18:00:00+07:00,50.366,0.24,0.036,0.042,0.03,0.026,0.023,0.021,0.036,0.03,0.03,2.245,92.934,329.084,553.657,734.311,863.831,981.672,980.864,590.646,844.659,606.396,286.367,78.059
9,Public,2023-06-18 12:00:00+07:00,854.826,734.844,832.428,717.27,520.857,271.428,58.962,0.637,0.033,0.055,0.051,0.043,0.041,0.039,0.034,0.036,0.038,1.791,63.334,243.06,544.229,753.467,848.757,458.089
10,Public,2023-09-01 19:00:00+07:00,0.04,0.042,0.053,0.035,0.039,0.035,0.034,0.032,0.038,0.018,0.048,6.408,24.631,68.532,384.818,304.916,230.263,531.999,857.007,800.934,412.7,395.947,131.595,15.802
11,Public,2023-07-13 20:00:00+07:00,0.041,0.041,0.036,0.043,0.036,0.036,0.032,0.027,0.029,0.912,76.18,172.219,304.374,678.473,934.454,699.16,921.844,738.441,284.107,299.694,364.031,140.227,41.492,0.562
12,Public,2023-09-23 13:00:00+07:00,721.946,587.529,480.484,284.256,76.356,2.669,0.032,0.032,0.041,0.04,0.036,0.032,0.029,0.025,0.029,0.026,0.045,38.442,231.271,457.697,654.738,791.311,871.591,805.412
13,Public,2023-09-13 16:00:00+07:00,73.443,19.512,2.011,0.008,0.007,0.007,0.008,0.011,0.012,0.014,0.014,0.01,0.01,0.014,10.132,62.759,242.482,393.728,462.388,430.845,862.596,767.005,617.222,482.27
14,Public,2023-10-09 04:00:00+07:00,0.018,0.012,8.162,69.417,193.343,209.854,193.984,131.977,236.856,195.56,291.706,231.841,120.041,42.896,0.458,0.012,0.011,0.015,0.022,0.015,0.008,0.009,0.017,0.009
15,Public,2023-07-17 16:00:00+07:00,340.085,205.986,56.238,0.807,0.044,0.039,0.04,0.036,0.029,0.027,0.028,0.024,0.022,0.87,87.762,268.032,514.753,714.046,826.111,909.152,992.824,886.676,778.354,638.351
16,Public,2023-07-09 09:00:00+07:00,343.2,388.603,674.753,745.319,755.563,308.449,261.238,253.509,152.351,45.093,0.201,0.033,0.029,0.03,0.025,0.022,0.023,0.025,0.025,0.026,0.751,25.828,166.419,412.953
17,Public,2023-08-07 02:00:00+07:00,0.007,0.006,0.006,0.026,14.781,68.015,184.3,211.72,215.983,355.957,283.017,282.236,284.994,158.837,101.228,45.666,9.846,0.037,0.008,0.012,0.009,0.006,0.006,0.01
18,Public,2023-12-23 00:00:00+07:00,0.016,0.015,0.009,0.005,0.007,0.009,1.144,49.34,145.119,373.238,478.84,602.869,510.308,518.327,386.559,206.199,109.694,21.619,0.266,0.011,0.008,0.008,0.005,0.004
19,Public,2023-12-05 17:00:00+07:00,16.369,0.045,0.029,0.03,0.026,0.023,0.018,0.011,0.008,0.008,0.004,0.006,0.005,3.502,67.3,227.172,395.577,526.183,598.254,612.302,526.283,436.93,265.664,98.869
20,Public,2023-08-28 01:00:00+07:00,0.037,0.035,0.037,0.046,0.053,11.588,109.388,291.199,524.544,699.342,299.018,261.295,386.144,616.295,460.352,159.699,66.489,9.765,0.048,0.042,0.041,0.04,0.039,0.036
21,Public,2023-07-01 05:00:00+07:00,0.812,43.725,132.683,377.122,505.13,795.199,940.34,914.223,964.049,900.022,514.379,200.529,165.372,20.977,0.397,0.017,0.017,0.015,0.016,0.009,0.011,0.01,0.008,0.005
22,Public,2023-04-29 22:00:00+07:00,0.017,0.022,0.016,0.031,0.027,0.022,0.014,0.305,41.948,206.91,408.578,594.893,724.631,663.721,834.528,725.64,422.259,50.563,117.103,116.514,35.799,0.026,0.008,0.011
23,Public,2023-08-01 02:00:00+07:00,0.019,0.015,0.011,0.073,19.05,97.484,213.426,164.602,114.025,444.519,549.912,318.289,406.716,129.935,79.73,71.65,21.002,0.057,0.027,0.033,0.029,0.031,0.03,0.028
24,Public,2023-11-28 04:00:00+07:00,0.002,0.001,6.779,74.85,251.556,441.346,570.898,639.48,639.542,574.701,446.926,271.256,101.288,24.467,0.045,0.025,0.02,0.013,0.016,0.011,0.014,0.011,0.012,0.005
25,Public,2023-05-17 15:00:00+07:00,581.657,374.851,167.314,30.421,0.112,0.019,0.016,0.012,0.017,0.025,0.024,0.024,0.018,0.015,2.019,75.518,274.142,493.756,560.973,796.517,841.672,950.997,882.732,609.793
26,Public,2023-11-28 02:00:00+07:00,0.008,0.002,0.002,0.001,6.779,74.85,251.556,441.346,570.898,639.48,639.542,574.701,446.926,271.256,101.288,24.467,0.045,0.025,0.02,0.013,0.016,0.011,0.014,0.011
