timestamp,solar_irrad,module_temp,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),is_day (),sunshine_duration (s),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²)
2021-10-15 07:00:00+07:00,39.493,26.176,24.0,90,22.3,28.6,0.0,0.0,3,1006.2,971.2,88,31,100,0,0.29,3.3,9.5,347,351,11.9,1,0.0,11.0,1.0,10.0,8.7
2021-10-15 08:00:00+07:00,97.812,27.714,24.6,88,22.5,29.7,0.1,0.1,51,1007.0,972.0,98,40,100,8,0.37,1.1,3.6,72,360,8.3,1,0.0,66.0,2.0,64.0,7.3
2021-10-15 09:00:00+07:00,128.054,27.75,24.8,88,22.7,30.0,0.1,0.1,51,1007.7,972.7,72,12,100,3,0.38,1.0,1.4,45,360,11.9,1,0.0,128.0,18.0,110.0,36.9
2021-10-15 10:00:00+07:00,258.441,34.574,25.3,85,22.6,30.1,0.1,0.1,51,1008.1,973.2,63,2,100,3,0.49,3.0,3.9,346,338,15.8,1,0.0,220.0,14.0,206.0,21.0
2021-10-15 11:00:00+07:00,324.647,40.159,25.7,82,22.5,30.6,0.1,0.1,51,1008.3,973.4,53,4,68,28,0.59,1.8,2.3,323,309,16.2,1,0.0,286.0,40.0,246.0,50.1
2021-10-15 12:00:00+07:00,307.994,38.867,26.1,79,22.1,30.8,0.0,0.0,1,1007.2,972.4,50,20,53,0,0.71,1.9,2.2,22,9,16.6,1,611.89,342.0,70.0,272.0,80.4
2021-10-15 13:00:00+07:00,288.506,37.708,26.5,77,22.2,31.1,0.0,0.0,2,1006.2,971.5,53,15,65,1,0.79,3.1,3.9,21,22,16.9,1,3600.0,523.0,257.0,266.0,291.8
2021-10-15 14:00:00+07:00,145.183,33.378,27.0,74,22.0,31.2,0.0,0.0,1,1005.1,970.5,31,7,40,3,0.92,4.9,6.0,17,17,14.8,1,3600.0,560.0,319.0,241.0,385.5
2021-10-15 15:00:00+07:00,187.682,33.172,27.2,71,21.4,31.1,0.0,0.0,1,1004.1,969.5,40,26,25,7,1.05,4.2,5.4,20,20,15.1,1,3600.0,547.0,349.0,198.0,488.3
2021-10-15 16:00:00+07:00,90.717,29.79,27.1,71,21.4,30.8,0.0,0.0,1,1003.8,969.2,20,5,25,2,1.03,6.0,7.5,343,343,14.0,1,3600.0,392.0,242.0,150.0,440.2
2021-10-15 17:00:00+07:00,18.591,26.685,25.6,79,21.6,29.1,0.5,0.5,53,1004.6,969.8,76,21,96,0,0.7,8.7,13.5,330,331,16.6,1,3600.0,204.0,115.0,89.0,334.3
2021-10-15 18:00:00+07:00,0.187,25.564,24.7,83,21.6,28.0,0.1,0.1,51,1005.6,970.7,47,13,58,2,0.53,10.0,18.7,311,326,18.0,1,1287.33,47.0,19.0,28.0,124.8
