timestamp,status,total_power,total_energy_since_reset,l1n_volt,current_l1,total_energy_l1,power_l1,l2n_volt,current_l2,total_energy_l2,power_l2,l3n_volt,current_l3,total_energy_l3,power_l3,frequency,alerts,alert_details
2021-12-14 06:00:00 +0000,ok,16884.075,104686873.5,229.736,17.674,26050535.0,3672.23,229.622,21.686,44368816.0,4686.275,229.048,37.926,34258961.0,8525.57,51.746,,
2021-12-14 07:00:00 +0000,ok,24099.61,104698880.148,229.389,40.414,26054804.404,9015.745,230.151,27.799,44371920.681,6151.669,229.411,39.899,34263575.381,8932.195,51.66,,
2021-12-14 08:00:00 +0000,ok,23922.065,104722979.706,229.561,42.104,26064315.279,9500.809,230.43,29.082,44378078.981,6583.172,229.878,34.842,34272005.608,7838.08,50.475,,
2021-12-14 09:00:00 +0000,ok,17697.354,104744757.079,229.779,28.072,26072609.592,6426.32,230.025,21.498,44384264.728,4871.906,229.074,28.939,34279302.803,6398.977,48.981,,
2021-12-14 10:00:00 +0000,ok,8098.858,104757407.736,230.318,19.504,26077899.255,4504.035,230.909,7.084,44387404.476,1529.448,230.74,8.906,34283515.748,2065.373,48.981,,
2021-12-14 11:00:00 +0000,ok,6417.736,104764309.386,230.455,18.28,26082142.82,4205.379,231.096,5.837,44388646.218,1244.575,231.221,4.298,34284939.067,967.782,48.98,,
2021-12-14 12:00:00 +0000,ok,6270.34,104770580.129,230.413,18.495,26086345.564,4263.469,231.131,5.785,44389895.789,1226.972,231.215,3.519,34285761.222,779.899,48.98,,
2021-12-14 13:00:00 +0000,ok,6395.02,104776921.351,230.308,18.924,26090692.173,4375.087,231.144,5.85,44391115.432,1239.932,231.303,3.582,34286532.241,780.001,48.98,,
2021-12-14 14:00:00 +0000,ok,6202.816,104783231.126,230.399,18.35,26095008.326,4228.335,231.148,5.642,44392315.633,1196.629,231.217,3.559,34287328.813,777.853,48.98,,
2021-12-14 15:00:00 +0000,ok,6170.751,104789424.224,230.453,18.365,26099220.518,4223.195,231.156,5.511,44393524.511,1170.862,231.225,3.554,34288097.633,776.694,48.98,,
2021-12-14 16:00:00 +0000,ok,2539.219,104793813.467,230.775,2.466,26101636.367,545.128,231.174,5.844,44394733.167,1233.009,231.186,3.473,34288862.733,761.081,49.52,,
2021-12-14 17:00:00 +0000,ok,2343.301,104796231.493,230.973,2.118,26102090.658,453.072,231.115,5.7,44395944.633,1205.282,231.281,3.223,34289612.633,684.948,49.985,,
2021-12-14 18:00:00 +0000,ok,2055.773,104798449.833,230.874,2.257,26102616.633,501.734,231.102,5.471,44397117.967,1157.002,231.089,1.867,34290137.533,397.038,49.985,,
2021-12-14 19:00:00 +0000,ok,1885.756,104800409.933,231.001,1.8,26103037.267,380.721,231.074,5.22,44398255.0,1100.987,231.079,1.859,34290541.767,404.048,49.985,,
2021-12-14 20:00:00 +0000,ok,2109.199,104802397.937,230.698,2.546,26103489.486,574.465,231.081,5.315,44399381.908,1129.221,231.113,1.849,34290940.031,405.513,49.986,,
2021-12-14 21:00:00 +0000,ok,1980.815,104804484.867,230.876,1.963,26104035.733,428.072,231.083,5.389,44400528.878,1148.495,231.129,1.836,34291348.533,404.248,49.985,,
2021-12-14 22:00:00 +0000,ok,1905.685,104806391.385,231.002,1.782,26104404.7,373.355,231.051,5.286,44401657.954,1127.656,231.129,1.84,34291745.267,404.675,49.973,,
2021-12-14 23:00:00 +0000,ok,1931.948,104808309.765,231.0,1.898,26104792.333,387.95,231.059,5.162,44402777.067,1103.419,231.14,2.012,34292158.033,440.579,49.986,,
2021-12-15 00:00:00 +0000,ok,1789.483,104810167.579,230.961,1.699,26105160.933,348.738,231.04,4.958,44403845.0,1055.074,231.033,1.788,34292581.633,385.672,49.986,,
2021-12-15 01:00:00 +0000,ok,6563.275,104813589.964,230.889,7.029,26105825.633,1470.03,231.042,9.837,44405211.767,2152.5,230.113,14.25,34293971.432,2940.745,49.985,,
2021-12-15 02:00:00 +0000,ok,14022.125,104824625.775,229.791,19.878,26108763.789,3936.345,229.919,22.031,44408795.243,4526.75,229.059,28.068,34298487.426,5559.03,49.985,,
2021-12-15 03:00:00 +0000,ok,13636.056,104838569.761,230.376,18.661,26112647.641,3711.156,230.592,20.696,44413269.793,4280.879,229.534,28.044,34304072.726,5644.022,50.183,,
2021-12-15 04:00:00 +0000,ok,10682.806,104851188.704,230.861,12.95,26115999.417,2672.888,231.068,15.119,44417173.203,3287.384,230.073,22.533,34309435.326,4722.534,51.535,,
2021-12-15 05:00:00 +0000,ok,8356.707,104859257.119,231.079,13.644,26117977.947,3084.26,231.415,10.933,44419619.266,2500.431,230.638,12.926,34313078.982,2772.015,51.762,,
2021-12-15 06:00:00 +0000,ok,22486.669,104875441.861,229.236,46.778,26125436.486,10524.834,230.458,29.629,44424427.926,6684.953,229.766,25.705,34316998.191,5276.882,51.634,,
2021-12-15 07:00:00 +0000,ok,24038.69,104898837.405,228.672,49.139,26136188.281,10952.715,229.941,31.794,44431331.032,7081.191,229.144,29.615,34322738.62,6004.78,50.666,,
2021-12-15 08:00:00 +0000,ok,22914.599,104922513.27,228.33,47.797,26147077.087,10642.21,229.55,30.737,44438342.805,6829.536,228.76,27.759,34328513.993,5442.853,49.094,,
2021-12-15 09:00:00 +0000,ok,21259.456,104945009.81,228.599,55.171,26158771.271,12557.947,230.205,22.736,44444499.47,5170.411,229.468,17.71,34333158.107,3531.098,48.98,,
2021-12-15 10:00:00 +0000,ok,15576.415,104962881.687,229.133,49.565,26170574.622,11304.229,230.524,17.124,44448847.843,3892.303,231.083,1.784,34334880.667,379.883,48.98,,
2021-12-15 11:00:00 +0000,ok,15476.405,104978439.68,229.259,49.352,26181863.083,11255.981,230.661,16.842,44452738.49,3831.688,231.096,1.838,34335262.156,388.736,48.98,,
